Piece Title,Genre,Bpm,Key,Time Signature,Mode Ionian,Duration in seconds,Instrument 1,Instrument 2,Instrument 3,Instrument 4,Instrument 5,Mood 1,Mood 2,Mood 3,Mood 4,Mood 5,Production Style,Overall Quality,TV PLACEMENT YES: TARGET
Alexandria's Arctic Adventure,1,130,5,4,6,83,2,1,23,16,0,8,5,0,0,0,7,5,0
An Unresolved Conclusion,1,115,23,1,6,82,2,6,10,0,0,3,21,0,0,0,2,3,0
Action Christmas,1,140,1,1,6,82,2,1,12,11,38,2,1,16,5,0,16,4,1
Trivium,1,115,13,1,6,81,12,14,8,37,1,3,12,9,10,21,13,4,0
6/8 Chiptune Dungeon,6,95,24,3,6,81,12,0,0,0,0,3,9,21,0,0,3,2,0
Herpy Derpy Halloween,10,55,13,1,6,80,53,23,1,18,0,5,1,21,0,0,16,3,0
A Grand Conclusion,1,115,23,1,6,79,2,4,0,0,0,8,9,18,10,0,2,4,0
Block Buggit,4,150,13,1,6,77,12,8,11,0,0,16,3,12,17,0,3,2,0
Music Box,1,132,3,2,1,77,41,29,3,8,0,5,20,1,0,0,5,3,0
As the Forest Burns,1,145,16,1,6,77,10,11,1,30,0,16,12,10,9,21,11,4,0
Bees and Caffeine,4,86,4,1,1,76,12,8,11,0,0,1,5,2,19,0,17,2,0
Building our Village,1,120,14,2,2,75,41,10,9,48,3,8,19,5,15,0,5,4,0
Reckoning,1,120,17,1,6,74,1,2,10,0,0,16,15,10,0,0,11,3,0
An Aberration,10,120,13,1,6,74,56,1,18,10,5,5,21,3,0,0,13,3,0
Bursting with Spirit,6,171,18,1,6,74,12,11,0,0,0,5,16,19,0,0,3,4,0
Frenzied Fury,6,170,4,1,4,74,12,11,0,0,0,5,16,19,0,0,3,4,0
Bicycle Ride,1,140,2,4,1,72,2,1,41,38,0,7,2,1,4,0,5,2,0
Wreaths and Candles,1,97.5,3,1,1,71,2,10,23,52,3,2,1,7,19,0,16,5,1
Deck the Afterburners,1,145,10,1,1,71,2,10,23,54,52,2,1,7,19,0,16,4,1
Space Cats,4,88,7,1,1,70,12,11,8,0,0,2,8,5,0,0,3,3,0
Zipping Down the Runway,6,90,14,1,6,69,12,11,0,0,0,2,1,5,0,0,3,3,0
Magical Glade,1,82,2,1,5,68,6,30,1,9,29,12,13,14,10,0,5,4,0
Lonesome Shore,1,115,23,1,6,66,1,50,4,2,0,21,4,9,18,0,2,4,0
Keynote,8,108,4,1,5,66,6,23,1,0,0,7,15,0,0,0,17,4,0
Wildflower,1,133,3,2,1,66,1,3,29,38,0,7,5,2,4,0,12,3,0
Igneous Rock,6,120,8,1,1,66,12,11,0,0,0,1,7,5,19,0,3,3,0
Omen,1,76,15,1,6,65,1,2,23,0,0,3,8,10,7,0,2,3,0
Attack of the Horsemen,1,80,14,3,6,65,2,9,23,18,0,10,16,21,8,0,11,4,0
Tragedy in a Bright new Era,1,47,23,2,6,65,1,55,4,50,0,9,18,11,0,0,2,3,0
Alien Farmhouse,6,105,3,1,1,65,12,11,0,0,0,1,5,7,19,0,3,4,0
Fever Dream,11,117,2,1,6,61,12,11,13,20,0,21,16,10,0,0,14,4,0
Fierce Efficiency,1,190,13,1,6,59,2,7,23,1,0,15,17,8,0,0,11,4,0
Christmas Candy,1,103,4,1,1,59,1,38,29,0,0,2,1,5,7,0,16,5,1
Spider Dance,6,78,24,5,6,58,2,3,23,1,5,5,1,2,20,0,16,3,0
Eastern Heartbreak,1,48,18,1,6,53,1,9,6,30,0,18,11,10,0,0,2,4,0
Pastoral Sweets,1,76,10,1,4,49,1,50,38,4,0,4,2,1,7,6,5,3,0
Goofy Energy,1,76,10,1,5,47,1,50,37,0,0,7,20,19,0,0,13,3,0
Sled Run,1,160,12,1,1,45,2,23,1,38,3,2,1,19,7,0,16,4,1
Tree Lighting,1,160,3,1,1,36,2,1,23,38,3,2,1,19,7,0,16,5,1
The Glowing Forest - Potion,1,64,20,3,6,34,2,3,10,46,0,6,19,14,4,0,5,3,0
Aquiver,12,129,2,1,1,32,12,1,23,41,0,2,4,7,19,6,17,4,0
Satellite Fragger,1,155,20,1,3,24,12,2,10,1,0,16,12,3,8,10,12,5,0
Timeline Drift,1,143,22,1,6,21,1,12,8,0,0,3,8,12,10,16,12,5,0
Bubble Universe,1,80,4,1,6,18,12,8,24,0,0,10,9,4,18,0,12,5,0
